source,price_raw,area_raw,address_raw,type,city,price,area,cep,price_per_m2,latitude,longitude
ZapImoveis,R$ 105.482,38 m²,,aluguel,Recife,105482.0,38.0,,2775.842105263158,,
ZapImoveis,R$ 500.000,166 m²,,aluguel,Recife,500000.0,166.0,,3012.0481927710844,,
ZapImoveis,R$ 120.883,38 m²,,aluguel,Recife,120883.0,38.0,,3181.1315789473683,,
ZapImoveis,R$ 400.000,216 m²,,aluguel,Recife,400000.0,216.0,,1851.851851851852,,
ZapImoveis,R$ 900,37 m²,,aluguel,Recife,900.0,37.0,,24.324324324324323,,
ZapImoveis,R$ 9.000,260 m²,,aluguel,Recife,9000.0,260.0,,34.61538461538461,,
ZapImoveis,R$ 126.927,40 m²,,aluguel,Recife,126927.0,40.0,,3173.175,,
ZapImoveis,R$ 250.000,100 m²,,aluguel,Recife,250000.0,100.0,,2500.0,,
ZapImoveis,R$ 465.000,220 m²,,aluguel,Recife,465000.0,220.0,,2113.6363636363635,,
ZapImoveis,R$ 1.200,38 m²,,aluguel,Recife,1200.0,38.0,,31.57894736842105,,
ZapImoveis,R$ 639.900,250 m²,,aluguel,Recife,639900.0,250.0,,2559.6,,
ZapImoveis,R$ 129.949,38 m²,,aluguel,Recife,129949.0,38.0,,3419.7105263157896,,
ZapImoveis,R$ 424.000,308 m²,,aluguel,Recife,424000.0,308.0,,1376.6233766233765,,
ZapImoveis,R$ 111.817,37 m²,,aluguel,Recife,111817.0,37.0,,3022.0810810810813,,
VivaReal,R$ 81.000,200 m²,,aluguel,Salvador,81000.0,200.0,,405.0,,
VivaReal,R$ 85.000,07140 m²,,aluguel,Salvador,85000.0,7140.0,,11.904761904761905,,
VivaReal,R$ 118.961,1944 m²,,aluguel,Salvador,118961.0,1944.0,,61.193930041152264,,
VivaReal,R$ 76.341,172 m²,,aluguel,Salvador,76341.0,172.0,,443.84302325581393,,
VivaReal,R$ 480.000,1080 m²,,aluguel,Salvador,480000.0,1080.0,,444.44444444444446,,
VivaReal,R$ 89.459,44 m²,,aluguel,Salvador,89459.0,44.0,,2033.159090909091,,
VivaReal,R$ 870.000,153 m²,,aluguel,Salvador,870000.0,153.0,,5686.274509803921,,
VivaReal,R$ 83.136,45 m²,,aluguel,Salvador,83136.0,45.0,,1847.4666666666667,,
VivaReal,R$ 1.700,68 m²,,aluguel,Salvador,1700.0,68.0,,25.0,,
VivaReal,R$ 4.896,140 m²,,aluguel,Salvador,4896.0,140.0,,34.97142857142857,,
VivaReal,R$ 1.002.516,96 m²,,aluguel,Salvador,1002516.0,96.0,,10442.875,,
VivaReal,R$ 2.700,80 m²,,aluguel,Salvador,2700.0,80.0,,33.75,,
VivaReal,R$ 1.000.000,131 m²,,aluguel,Salvador,1000000.0,131.0,,7633.587786259542,,
