origin,destination,distance_km,duration_hours,origin_lat,origin_lon,destination_lat,destination_lon,avg_speed_kmh
Recife,Salvador,675.7713987833895,8.44714248479237,-8.0476,-34.877,-12.9714,-38.5014,80.0
Recife,Fortaleza,626.9864068755918,7.837330085944897,-8.0476,-34.877,-3.7327,-38.527,80.0
Recife,Natal,253.2311803603712,3.1653897545046403,-8.0476,-34.877,-5.7945,-35.211,80.0
Recife,João Pessoa,103.711705537592,1.2963963192199,-8.0476,-34.877,-7.115,-34.8631,80.0
Recife,Maceió,203.1421483383481,2.539276854229352,-8.0476,-34.877,-9.6658,-35.7352,79.99999999999999
Recife,Aracaju,399.1641552626116,4.989551940782646,-8.0476,-34.877,-10.9091,-37.0748,79.99999999999999
Recife,Teresina,935.0566105870348,11.688207632337932,-8.0476,-34.877,-5.0892,-42.8016,80.00000000000003
Recife,São Luís,1210.596146039139,15.132451825489238,-8.0476,-34.877,-2.5307,-44.3068,80.0
Salvador,Recife,675.7713987833895,8.44714248479237,-12.9714,-38.5014,-8.0476,-34.877,80.0
Salvador,Fortaleza,1027.3004205443826,12.841255256804782,-12.9714,-38.5014,-3.7327,-38.527,80.0
Salvador,Natal,875.774689680149,10.947183621001864,-12.9714,-38.5014,-5.7945,-35.211,79.99999999999999
Salvador,João Pessoa,763.2842501717248,9.54105312714656,-12.9714,-38.5014,-7.115,-34.8631,80.0
Salvador,Maceió,475.4381530351069,5.942976912938836,-12.9714,-38.5014,-9.6658,-35.7352,80.0
Salvador,Aracaju,276.8934886365833,3.4611686079572914,-12.9714,-38.5014,-10.9091,-37.0748,80.0
Salvador,Teresina,995.3928629997782,12.442410787497227,-12.9714,-38.5014,-5.0892,-42.8016,80.0
Salvador,São Luís,1325.0432457454529,16.56304057181816,-12.9714,-38.5014,-2.5307,-44.3068,80.0
Fortaleza,Recife,626.9864068755918,7.837330085944897,-3.7327,-38.527,-8.0476,-34.877,80.0
Fortaleza,Salvador,1027.3004205443826,12.841255256804782,-3.7327,-38.527,-12.9714,-38.5014,80.0
Fortaleza,Natal,433.08702451497936,5.413587806437241,-3.7327,-38.527,-5.7945,-35.211,80.00000000000001
Fortaleza,João Pessoa,553.0778936769692,6.913473670962115,-3.7327,-38.527,-7.115,-34.8631,80.0
Fortaleza,Maceió,728.1576256088487,9.101970320110608,-3.7327,-38.527,-9.6658,-35.7352,80.0
Fortaleza,Aracaju,813.8717386292069,10.173396732865086,-3.7327,-38.527,-10.9091,-37.0748,80.0
Fortaleza,Teresina,497.31988119776975,6.2164985149721215,-3.7327,-38.527,-5.0892,-42.8016,80.0
Fortaleza,São Luís,655.4832176581715,8.193540220727144,-3.7327,-38.527,-2.5307,-44.3068,80.0
Natal,Recife,253.2311803603712,3.1653897545046403,-5.7945,-35.211,-8.0476,-34.877,80.0
Natal,Salvador,875.774689680149,10.947183621001864,-5.7945,-35.211,-12.9714,-38.5014,79.99999999999999
Natal,Fortaleza,433.08702451497936,5.413587806437241,-5.7945,-35.211,-3.7327,-38.527,80.00000000000001
Natal,João Pessoa,151.780852459686,1.897260655746075,-5.7945,-35.211,-7.115,-34.8631,80.0
Natal,Maceió,434.3250129288508,5.429062661610635,-5.7945,-35.211,-9.6658,-35.7352,80.0
Natal,Aracaju,604.5281139568924,7.556601424461155,-5.7945,-35.211,-10.9091,-37.0748,80.0
Natal,Teresina,843.8732908619849,10.548416135774811,-5.7945,-35.211,-5.0892,-42.8016,80.0
Natal,São Luís,1071.9013381368943,13.398766726711182,-5.7945,-35.211,-2.5307,-44.3068,79.99999999999999
João Pessoa,Recife,103.711705537592,1.2963963192199,-7.115,-34.8631,-8.0476,-34.877,80.0
João Pessoa,Salvador,763.2842501717248,9.54105312714656,-7.115,-34.8631,-12.9714,-38.5014,80.0
João Pessoa,Fortaleza,553.0778936769692,6.913473670962115,-7.115,-34.8631,-3.7327,-38.527,80.0
João Pessoa,Natal,151.780852459686,1.897260655746075,-7.115,-34.8631,-5.7945,-35.211,80.0
João Pessoa,Maceió,299.41831166141304,3.742728895767663,-7.115,-34.8631,-9.6658,-35.7352,80.0
João Pessoa,Aracaju,486.7861575909657,6.084826969887071,-7.115,-34.8631,-10.9091,-37.0748,80.0
João Pessoa,Teresina,906.1103430634612,11.326379288293268,-7.115,-34.8631,-5.0892,-42.8016,79.99999999999999
João Pessoa,São Luís,1163.670553715409,14.54588192144261,-7.115,-34.8631,-2.5307,-44.3068,80.0
Maceió,Recife,203.1421483383481,2.539276854229352,-9.6658,-35.7352,-8.0476,-34.877,79.99999999999999
Maceió,Salvador,475.4381530351069,5.942976912938836,-9.6658,-35.7352,-12.9714,-38.5014,80.0
Maceió,Fortaleza,728.1576256088487,9.101970320110608,-9.6658,-35.7352,-3.7327,-38.527,80.0
Maceió,Natal,434.3250129288508,5.429062661610635,-9.6658,-35.7352,-5.7945,-35.211,80.0
Maceió,João Pessoa,299.41831166141304,3.742728895767663,-9.6658,-35.7352,-7.115,-34.8631,80.0
Maceió,Aracaju,201.47503090234397,2.5184378862792998,-9.6658,-35.7352,-10.9091,-37.0748,80.0
Maceió,Teresina,930.5061841518228,11.631327301897784,-9.6658,-35.7352,-5.0892,-42.8016,80.00000000000001
Maceió,São Luís,1235.485755638741,15.443571945484262,-9.6658,-35.7352,-2.5307,-44.3068,80.0
Aracaju,Recife,399.1641552626116,4.989551940782646,-10.9091,-37.0748,-8.0476,-34.877,79.99999999999999
Aracaju,Salvador,276.8934886365833,3.4611686079572914,-10.9091,-37.0748,-12.9714,-38.5014,80.0
Aracaju,Fortaleza,813.8717386292069,10.173396732865086,-10.9091,-37.0748,-3.7327,-38.527,80.0
Aracaju,Natal,604.5281139568924,7.556601424461155,-10.9091,-37.0748,-5.7945,-35.211,80.0
Aracaju,João Pessoa,486.7861575909657,6.084826969887071,-10.9091,-37.0748,-7.115,-34.8631,80.0
Aracaju,Maceió,201.47503090234397,2.5184378862792998,-10.9091,-37.0748,-9.6658,-35.7352,80.0
Aracaju,Teresina,903.3693168557828,11.292116460697285,-10.9091,-37.0748,-5.0892,-42.8016,80.0
