source,price_raw,area_raw,address_raw,type,city
ZapImoveis,N/A,N/A,N/A,aluguel,Recife
ZapImoveis,R$ 105.482,38 m²,N/A,aluguel,Recife
ZapImoveis,N/A,N/A,N/A,aluguel,Recife
ZapImoveis,R$ 500.000,166 m²,N/A,aluguel,Recife
ZapImoveis,N/A,N/A,N/A,aluguel,Recife
ZapImoveis,R$ 120.883,38 m²,N/A,aluguel,Recife
ZapImoveis,N/A,N/A,N/A,aluguel,Recife
ZapImoveis,R$ 400.000,216 m²,N/A,aluguel,Recife
ZapImoveis,N/A,N/A,N/A,aluguel,Recife
ZapImoveis,R$ 900,37 m²,N/A,aluguel,Recife
ZapImoveis,N/A,N/A,N/A,aluguel,Recife
ZapImoveis,R$ 9.000,260 m²,N/A,aluguel,Recife
ZapImoveis,N/A,N/A,N/A,aluguel,Recife
ZapImoveis,R$ 126.927,40 m²,N/A,aluguel,Recife
ZapImoveis,N/A,N/A,N/A,aluguel,Recife
ZapImoveis,R$ 250.000,100 m²,N/A,aluguel,Recife
ZapImoveis,N/A,N/A,N/A,aluguel,Recife
ZapImoveis,R$ 465.000,220 m²,N/A,aluguel,Recife
ZapImoveis,N/A,N/A,N/A,aluguel,Recife
ZapImoveis,R$ 1.200,38 m²,N/A,aluguel,Recife
ZapImoveis,N/A,N/A,N/A,aluguel,Recife
ZapImoveis,R$ 250.000,150 m²,N/A,aluguel,Recife
ZapImoveis,N/A,N/A,N/A,aluguel,Recife
ZapImoveis,R$ 639.900,250 m²,N/A,aluguel,Recife
ZapImoveis,N/A,N/A,N/A,aluguel,Recife
ZapImoveis,R$ 129.949,38 m²,N/A,aluguel,Recife
ZapImoveis,N/A,N/A,N/A,aluguel,Recife
ZapImoveis,R$ 424.000,308 m²,N/A,aluguel,Recife
ZapImoveis,N/A,N/A,N/A,aluguel,Recife
ZapImoveis,R$ 111.817,37 m²,N/A,aluguel,Recife
VivaReal,N/A,N/A,N/A,aluguel,Recife
